UF,AtividadeEconomica,Idade,Trabalhadores,Populacao
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",22,64.56571011,5173.3849322
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",23,110.14468314,10262.97585742
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",26,76.77722065,8543.07477882
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",27,268.75133462,8451.25057636
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",28,239.00523547,7045.94143634
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",30,104.52086444,5596.1368507199995
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",31,504.81592993,9450.11938006
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",32,134.25309042,6156.2153758800005
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",33,148.1448141,6230.08170684
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",34,317.09089784,8864.90380416
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",35,419.75666184,6484.05573228
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",36,387.59188555000003,6780.0318072400005
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",37,118.29095359,6197.73678466
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",38,87.02258553,6863.89740362
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",39,212.2492538,8540.30380048
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",40,173.41366929,6561.0573247
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",41,209.23359645,8456.75883344
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",43,379.85408213,6015.62146532
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",45,228.28401235,5897.7298336
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",46,216.73699451,3926.25437926
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",48,118.29095359,3240.25862862
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",49,316.45167246,5640.72563146
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",50,92.61503516,3550.77272258
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",51,76.77722065,4852.39077356
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",52,253.88710712,3580.89881544
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",53,183.88511975,5565.42472846
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",54,246.06958377,3835.56554408
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",55,215.93236509,6050.31068678
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",56,422.39015487,4657.06221208
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",59,130.57174783,5459.41677276
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",60,349.24521391,4027.26694686
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",61,99.08891331,4609.18612536
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",62,99.08891331,2288.71197632
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",63,173.03492585,3537.1247897
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",65,223.76782458999998,4328.33540952
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",66,76.77722065,2656.37836702
AC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",69,64.56571011,2656.30587264
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",13,208.34940402,8197.46869002
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",15,226.77348429,8410.12956692
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",20,253.63058351,7805.82394052
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",21,295.84894299999996,8689.40543698
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",22,214.49818138,5173.3849322
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",23,234.71285232000002,10262.97585742
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",24,94.24366742,8587.99815982
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",26,345.54190585,8543.07477882
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",27,88.52542748,8451.25057636
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",29,49.69296285,9194.74155588
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",30,303.88542622,5596.1368507199995
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",31,108.75851838,9450.11938006
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",32,181.8522308,6156.2153758800005
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",33,70.76588491,6230.08170684
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",34,401.14854082,8864.90380416
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",35,245.50375744,6484.05573228
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",36,167.33737983999998,6780.0318072400005
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",37,49.69296285,6197.73678466
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",38,190.68127774,6863.89740362
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",39,711.51599716,8540.30380048
AC,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",40,213.27938282,6561.0573247
